titulo;ano;classificacao;duracao;sinopse;direcao;roteiristas;artistas;nota
All About Eve;1950;Passed;2h 18m;A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.;Joseph L. Mankiewicz;Joseph L. Mankiewicz, Mary Orr;Bette Davis, Anne Baxter, George Sanders;8.2
The Wolf of Wall Street;2013;R;3h;Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.;Martin Scorsese;Terence Winter, Jordan Belfort;Leonardo DiCaprio, Jonah Hill, Margot Robbie;8.2
Ran;1985;R;2h 42m;In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.;Akira Kurosawa;Akira Kurosawa, Hideo Oguni, Masato Ide;Tatsuya Nakadai, Akira Terao, Jinpachi Nezu;8.2
Green Book;2018;PG-13;2h 10m;A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.;Peter Farrelly;Nick Vallelonga, Brian Hayes Currie, Peter Farrelly;Viggo Mortensen, Mahershala Ali, Linda Cardellini;8.2
Some Like It Hot;1959;Passed;2h 1m;After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.;Billy Wilder;Billy Wilder, I.A.L. Diamond, Robert Thoeren;Marilyn Monroe, Tony Curtis, Jack Lemmon;8.2
The Father;2020;PG-13;1h 37m;A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.;Florian Zeller;Christopher Hampton, Florian Zeller;Anthony Hopkins, Olivia Colman, Mark Gatiss;8.2
Judgment at Nuremberg;1961;Approved;2h 59m;In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.;Stanley Kramer;Abby Mann, Montgomery Clift;Spencer Tracy, Burt Lancaster, Richard Widmark;8.3
Batman Begins;2005;PG-13;2h 20m;After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.;Christopher Nolan;Bob Kane, David S. Goyer, Christopher Nolan;Christian Bale, Michael Caine, Ken Watanabe;8.2
For a Few Dollars More;1965;R;2h 12m;Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.;Sergio Leone;Sergio Leone, Fulvio Morsella, Luciano Vincenzoni;Clint Eastwood, Lee Van Cleef, Gian Maria Volontè;8.2
Top Gun Maverick;2022;PG-13;2h 10m;After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.;Joseph Kosinski;Jim Cash, Jack Epps Jr., Peter Craig;Tom Cruise, Jennifer Connelly, Miles Teller;8.3
The Kid;1921;Passed;1h 8m;The Tramp cares for an abandoned child, but events put their relationship in jeopardy.;Charles Chaplin;Charles Chaplin;Charles Chaplin, Edna Purviance, Jackie Coogan;8.3
Downfall;2004;R;2h 36m;Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.;Oliver Hirschbiegel;Bernd Eichinger, Joachim Fest, Traudl Junge;Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes;8.2
1917;2019;R;1h 59m;April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.;Sam Mendes;Sam Mendes, Krysty Wilson-Cairns;Dean-Charles Chapman, George MacKay, Daniel Mays;8.2
Dangal;2016;Not Rated;2h 41m;Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.;Nitesh Tiwari;Piyush Gupta, Shreyas Jain, Nikhil Mehrotra;Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh;8.3
Taxi Driver;1976;R;1h 54m;A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.;Martin Scorsese;Paul Schrader;Robert De Niro, Jodie Foster, Cybill Shepherd;8.2
Like Stars on Earth;2007;PG;2h 45m;An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.;Aamir Khan, Amole Gupte;Amole Gupte;Darsheel Safary, Aamir Khan, Tanay Chheda;8.3
Bicycle Thieves;1948;Not Rated;1h 29m;In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it.;Vittorio De Sica;Cesare Zavattini, Luigi Bartolini, Oreste Biancoli;Lamberto Maggiorani, Enzo Staiola, Lianella Carell;8.3
Indiana Jones and the Last Crusade;1989;PG-13;2h 7m;In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.;Steven Spielberg;Jeffrey Boam, George Lucas, Menno Meyjes;Harrison Ford, Sean Connery, Alison Doody;8.2
Snatch;2000;R;1h 42m;Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.;Guy Ritchie;Guy Ritchie;Jason Statham, Brad Pitt, Stephen Graham;8.2
Metropolis;1927;Not Rated;2h 33m;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.;Fritz Lang;Thea von Harbou, Fritz Lang;Brigitte Helm, Alfred Abel, Gustav Fröhlich;8.3
Die Hard;1988;R;2h 12m;A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.;John McTiernan;Roderick Thorp, Jeb Stuart, Steven E. de Souza;Bruce Willis, Alan Rickman, Bonnie Bedelia;8.2
A Separation;2011;PG-13;2h 3m;A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.;Asghar Farhadi;Asghar Farhadi;Payman Maadi, Leila Hatami, Sareh Bayat;8.3
L.A. Confidential;1997;R;2h 18m;As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.;Curtis Hanson;James Ellroy, Brian Helgeland, Curtis Hanson;Kevin Spacey, Russell Crowe, Guy Pearce;8.2
The Sting;1973;PG;2h 9m;Two grifters team up to pull off the ultimate con.;George Roy Hill;David S. Ward;Paul Newman, Robert Redford, Robert Shaw;8.3
Up;2009;PG;1h 36m;78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.;Pete Docter, Bob Peterson;Pete Docter, Bob Peterson, Tom McCarthy;Edward Asner, Jordan Nagai, John Ratzenberger;8.3
To Kill a Mockingbird;1962;Approved;2h 9m;Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice.;Robert Mulligan;Harper Lee, Horton Foote;Gregory Peck, John Megna, Frank Overton;8.3
Incendies;2010;R;2h 11m;Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.;Denis Villeneuve;Denis Villeneuve, Wajdi Mouawad, Valérie Beaugrand-Champagne;Lubna Azabal, Mélissa Désormeaux-Poulin, Maxim Gaudette;8.3
Scarface;1983;R;2h 50m;In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.;Brian De Palma;Oliver Stone, Howard Hawks, Ben Hecht;Al Pacino, Michelle Pfeiffer, Steven Bauer;8.3
Heat;1995;R;2h 50m;A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.;Michael Mann;Michael Mann;Al Pacino, Robert De Niro, Val Kilmer;8.3
Full Metal Jacket;1987;16+;1h 56m;A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;Stanley Kubrick;Stanley Kubrick, Michael Herr, Gustav Hasford;Matthew Modine, R. Lee Ermey, Vincent D'Onofrio;8.3
Vertigo;1958;PG;2h 8m;A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed.;Alfred Hitchcock;Alec Coppel, Samuel A. Taylor, Pierre Boileau;James Stewart, Kim Novak, Barbara Bel Geddes;8.3
A Clockwork Orange;1971;X;2h 16m;In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.;Stanley Kubrick;Stanley Kubrick, Anthony Burgess;Malcolm McDowell, Patrick Magee, Michael Bates;8.3
Hamilton;2020;PG-13;2h 40m;The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.;Thomas Kail;Lin-Manuel Miranda, Ron Chernow;Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.;8.4
Double Indemnity;1944;Passed;1h 47m;A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator.;Billy Wilder;Billy Wilder, Raymond Chandler, James M. Cain;Fred MacMurray, Barbara Stanwyck, Edward G. Robinson;8.3
North by Northwest;1959;Approved;2h 16m;A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt.;Alfred Hitchcock;Ernest Lehman;Cary Grant, Eva Marie Saint, James Mason;8.3
Ikiru;1952;Not Rated;2h 23m;A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.;Akira Kurosawa;Akira Kurosawa, Shinobu Hashimoto, Hideo Oguni;Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori;8.3
